"period_year" "period_no" "period_week" "item_no" "u_sales"
"22297" 2013 2 9 9962 11
"22298" 2014 1 2 9823 75
"22299" 2015 3 10 10789 2
"22300" 2015 3 11 13670 6
"22301" 2013 2 8 8083 1
"22302" 2015 3 10 48376 6
"22303" 2013 1 5 9065 120
"22304" 2015 1 4 8137 5
"22305" 2014 3 11 15145 80
"22306" 2014 2 6 74779 5
"22307" 2014 3 12 20253 2
"22308" 2013 3 12 8760 15
"22309" 2014 1 5 8576 16
"22310" 2013 3 11 10396 14
"22311" 2015 2 9 55842 2150
"22312" 2013 3 10 11165 77
"22313" 2014 2 8 10920 788
"22314" 2013 2 6 9406 46
"22315" 2015 1 2 14572 1
"22316" 2014 1 3 9790 5
"22317" 2014 1 5 96313 10
"22318" 2015 2 6 30291 100
"22319" 2014 2 7 1719 2
"22320" 2013 1 1 18014 11
"22321" 2014 2 8 46987 2
"22322" 2013 1 5 10774 7
"22323" 2013 1 4 34282 1
"22324" 2015 2 9 18836 43
"22325" 2014 2 6 75094 2
"22326" 2013 1 3 11782 4
"22327" 2014 3 10 8546 1
"22328" 2013 1 2 9903 157
"22329" 2014 3 12 17024 13
"22330" 2013 3 10 7544 1
"22331" 2013 3 12 19331 46
"22332" 2013 2 9 11986 5
"22333" 2015 3 10 28210 7
"22334" 2014 2 8 31793 850
"22335" 2013 1 1 12478 30
"22336" 2014 3 11 11836 -2
"22337" 2015 2 9 19463 115
"22338" 2014 1 5 9094 26
"22339" 2013 3 11 58348 700
"22340" 2013 3 10 11056 10
"22341" 2014 1 5 18832 1
"22342" 2014 1 5 60246 2
"22343" 2015 1 3 31622 13
"22344" 2014 1 2 8017 18
"22345" 2013 1 4 40027 121
"22346" 2015 2 6 41655 16
"22347" 2015 1 4 51629 10
"22348" 2015 2 8 41660 3
"22349" 2014 2 6 9409 1
"22350" 2014 3 12 93360 1
"22351" 2013 1 3 19943 40
"22352" 2015 1 3 10082 7
"22353" 2015 1 4 44782 445
"22354" 2013 3 11 74790 1
"22355" 2013 3 11 11707 27
"22356" 2015 2 9 31683 300
"22357" 2014 2 9 13715 32
"22358" 2013 1 3 54962 1515
"22359" 2015 3 12 11902 24
"22360" 2013 1 5 9463 3
"22361" 2014 3 11 52443 24
"22362" 2013 2 7 17820 2
"22363" 2015 1 5 8184 22
"22364" 2014 1 3 19734 9
"22365" 2013 3 12 74731 111
"22366" 2015 1 3 1117 2
"22367" 2013 3 10 11059 262
"22368" 2014 3 11 8089 29
"22369" 2013 1 2 8011 5
"22370" 2015 2 9 12722 7
"22371" 2014 3 10 48357 486
"22372" 2015 3 10 73139 55
"22373" 2014 2 8 48902 1
"22374" 2014 1 5 75560 1051
"22375" 2013 3 11 13333 6
"22376" 2013 1 5 48152 19
"22377" 2015 2 9 9974 5
"22378" 2014 2 9 8863 118
"22379" 2013 3 12 9653 8
"22380" 2013 1 3 8061 3
"22381" 2014 3 10 74746 1
"22382" 2014 2 6 8811 1847
"22383" 2014 1 3 45834 1860
"22384" 2015 3 10 20387 3
"22385" 2014 2 6 30886 20
"22386" 2014 2 8 7803 4
"22387" 2015 2 7 15127 1
"22388" 2013 3 11 48922 92
"22389" 2013 2 7 92281 66
"22390" 2013 3 10 9768 104
"22391" 2015 2 8 20518 2
"22392" 2014 3 10 58304 54
"22393" 2013 1 5 11979 73
"22394" 2013 2 6 9695 62
"22395" 2013 1 3 31825 850
"22396" 2013 2 6 8911 18
"22397" 2014 3 12 41896 8
"22398" 2015 1 5 8075 1
"22399" 2014 3 11 10007 10
"22400" 2013 2 6 11032 1
"22401" 2015 2 9 9868 4542
"22402" 2014 1 2 18382 55
"22403" 2015 3 12 12011 3
"22404" 2013 3 12 18017 6
"22405" 2013 1 5 1723 4
"22406" 2014 3 10 58015 9
"22407" 2014 3 11 48925 352
"22408" 2015 1 2 8312 47
"22409" 2013 1 3 8845 14
"22410" 2014 2 7 48563 6
"22411" 2014 1 3 75051 1
"22412" 2013 1 5 8175 46
"22413" 2015 1 5 52463 1
"22414" 2013 3 12 9470 6
"22415" 2015 2 9 10575 5
"22416" 2014 2 8 33685 107
"22417" 2013 1 5 8544 2
"22418" 2014 1 3 8585 20
"22419" 2013 2 6 9804 904
"22420" 2013 3 12 9762 217
"22421" 2015 1 5 19439 2
"22422" 2015 2 8 30116 33
"22423" 2013 2 7 8145 134
"22424" 2015 1 3 9375 47
"22425" 2014 3 11 11235 7
"22426" 2013 2 7 45835 725
"22427" 2015 1 5 37063 1
"22428" 2015 1 4 11051 2
"22429" 2013 1 1 9879 11
"22430" 2015 1 5 12821 23
"22431" 2014 1 5 9177 1
"22432" 2013 3 10 11766 3
"22433" 2013 3 11 12045 166
"22434" 2015 2 7 19950 7
"22435" 2015 1 3 407 76
"22436" 2013 2 7 9745 49
"22437" 2015 3 11 13667 26
"22438" 2014 2 8 21620 5
"22439" 2015 3 10 48373 30
"22440" 2015 2 6 53142 2
"22441" 2015 3 12 15343 2
"22442" 2015 3 11 74706 75
"22443" 2015 1 4 7507 3
"22444" 2014 1 2 9906 96
"22445" 2015 2 6 9415 5
"22446" 2013 2 6 45470 140
"22447" 2015 2 6 14559 5
"22448" 2014 2 9 8680 1
"22449" 2014 2 8 44757 896
"22450" 2015 1 3 58011 5
"22451" 2013 2 6 73147 40
"22452" 2015 3 12 92291 17
"22453" 2014 1 4 8202 134
"22454" 2013 2 7 49112 12
"22455" 2014 1 4 18381 18
"22456" 2013 1 1 52260 1
"22457" 2015 3 12 20787 17
"22458" 2013 1 3 32374 21
"22459" 2014 1 1 48980 2325
"22460" 2014 3 11 11661 38
"22461" 2013 2 7 8528 17
"22462" 2013 3 10 19337 32
"22463" 2015 2 6 14361 2
"22464" 2013 1 5 48269 5
"22465" 2013 1 5 13344 12
"22466" 2014 2 7 48949 16
"22467" 2014 3 12 48356 194
"22468" 2014 3 12 47051 34
"22469" 2014 3 12 8087 1
"22470" 2013 3 10 30091 1701
"22471" 2013 1 3 13651 2
"22472" 2013 1 4 10778 6
"22473" 2014 1 3 79290 1
"22474" 2015 3 10 8576 40
"22475" 2013 3 12 31811 13
"22476" 2015 2 7 16612 3
"22477" 2015 3 11 12556 25
"22478" 2013 3 10 10572 3
"22479" 2014 3 12 10314 4
"22480" 2015 2 8 10937 1
"22481" 2015 2 8 20721 36
"22482" 2014 3 11 36516 11
"22483" 2014 3 12 10423 35
"22484" 2014 1 1 18011 21
"22485" 2013 2 7 13795 53
"22486" 2014 1 4 73200 33
"22487" 2014 3 12 10941 1
"22488" 2014 1 3 9177 5
"22489" 2013 1 4 50200 50
"22490" 2015 1 5 92437 5
"22491" 2014 1 2 8821 6
"22492" 2015 2 8 4382 0
"22493" 2013 2 8 74778 1
"22494" 2013 1 3 19765 43
"22495" 2014 1 5 9769 375
"22496" 2015 1 5 11882 56
"22497" 2015 1 4 53143 2
"22498" 2013 2 8 11426 56
"22499" 2013 1 3 47050 15
"22500" 2015 2 9 9255 2
"22501" 2015 2 6 12947 1
"22502" 2015 1 5 9234 1
"22503" 2015 2 9 9175 12
"22504" 2013 2 9 21569 3
"22505" 2013 3 12 11081 34
"22506" 2013 3 12 9750 1
"22507" 2014 2 6 50820 6
"22508" 2015 1 4 11995 54
"22509" 2015 2 6 35151 22
"22510" 2014 2 6 11882 62
"22511" 2014 1 3 8865 1728
"22512" 2013 1 1 11616 70
"22513" 2015 1 5 11069 19
"22514" 2014 1 2 11626 39
"22515" 2015 3 12 15142 2
"22516" 2015 1 3 1148 2
"22517" 2013 2 9 16016 8
"22518" 2015 2 9 8863 123
"22519" 2014 1 5 10396 11
"22520" 2015 3 12 76393 1
"22521" 2014 1 5 16307 16
"22522" 2015 1 3 58337 960
"22523" 2013 2 9 10560 1
"22524" 2015 3 12 9795 82
"22525" 2015 2 6 8619 11
"22526" 2015 3 10 50242 307
"22527" 2013 1 1 12243 5
"22528" 2013 2 6 41491 7
"22529" 2013 2 7 9467 5
"22530" 2015 3 11 19426 45
"22531" 2015 1 4 9691 2
"22532" 2015 1 2 76561 6
"22533" 2015 3 11 60150 23
"22534" 2013 2 6 26735 4
"22535" 2015 3 10 31739 1
"22536" 2015 3 10 19382 10
"22537" 2013 3 10 31614 51
"22538" 2014 2 9 36557 16
"22539" 2015 2 7 8162 156
"22540" 2014 2 7 34943 62
"22541" 2013 1 4 10074 113
"22542" 2014 1 1 41652 16
"22543" 2013 1 4 20253 1
"22544" 2015 1 2 92462 3
"22545" 2014 1 5 1116 6
"22546" 2015 3 12 17060 20
"22547" 2014 2 6 11988 2
"22548" 2015 3 12 52248 1
"22549" 2014 3 11 8856 1020
"22550" 2014 2 8 15325 4
"22551" 2015 1 4 30120 2
"22552" 2013 2 6 48936 2
"22553" 2013 1 5 11243 4
"22554" 2013 3 11 4874 15
"22555" 2015 1 4 73246 14
"22556" 2013 2 6 31481 11
"22557" 2013 2 8 8887 42
"22558" 2015 1 5 74707 54
"22559" 2013 2 6 33124 2
"22560" 2015 2 6 7803 11
"22561" 2013 2 7 7057 32
"22562" 2014 2 7 39978 108
"22563" 2014 3 10 9699 76
"22564" 2014 3 12 10317 1
"22565" 2015 2 6 8201 7
"22566" 2014 1 3 9861 61
"22567" 2015 1 4 15350 -4
"22568" 2014 3 10 74777 6
"22569" 2014 1 2 17059 9
"22570" 2014 1 2 20285 2
"22571" 2014 2 8 8876 14
"22572" 2014 2 9 30188 1
"22573" 2013 3 12 10374 3
"22574" 2015 2 6 52094 115
"22575" 2014 3 12 52292 26
"22576" 2015 1 2 8283 1
"22577" 2015 1 2 11509 850
"22578" 2013 3 12 10065 272
"22579" 2013 1 5 8020 225
"22580" 2014 2 8 11993 9
"22581" 2015 2 7 8666 87
"22582" 2014 1 3 19333 55
"22583" 2015 1 5 8922 15
"22584" 2014 2 8 41654 11
"22585" 2013 3 12 60178 42
"22586" 2014 1 2 6591 26
"22587" 2014 1 2 13773 12
"22588" 2015 1 4 1719 2
"22589" 2014 1 5 76576 6
"22590" 2013 1 1 19986 10
"22591" 2014 3 11 9457 159
"22592" 2015 3 11 18825 1
"22593" 2015 1 1 11860 2
"22594" 2014 1 4 8623 40
"22595" 2015 2 9 11800 1
"22596" 2013 3 11 9912 66
"22597" 2014 2 8 15016 144
"22598" 2014 1 5 48999 393
"22599" 2013 1 5 7204 30
"22600" 2015 2 9 12003 18
"22601" 2014 1 2 13066 80
"22602" 2015 3 10 8290 3
"22603" 2015 3 10 73259 115
"22604" 2013 3 11 52282 3
"22605" 2015 2 6 34026 4
"22606" 2014 2 9 48150 55
"22607" 2015 1 1 8528 1
"22608" 2013 1 1 74776 2
"22609" 2014 2 6 30179 5
"22610" 2013 1 1 10357 51
"22611" 2013 1 2 73275 853
"22612" 2015 1 3 19766 124
"22613" 2014 2 8 11836 5
"22614" 2013 3 10 14594 0
"22615" 2014 1 2 8827 164
"22616" 2014 2 7 31646 31
"22617" 2014 2 6 5897 5
"22618" 2013 1 3 74733 2
"22619" 2013 3 11 44757 510
"22620" 2013 3 12 9049 3
"22621" 2013 3 10 17826 1
"22622" 2014 2 8 44783 13302
"22623" 2014 2 6 1729 16
"22624" 2015 3 10 8193 53
"22625" 2014 3 10 19950 15
"22626" 2014 1 3 13620 10
"22627" 2014 1 5 58308 210
"22628" 2015 3 10 10188 1
"22629" 2013 2 9 10566 1
"22630" 2013 1 3 41709 2
"22631" 2014 1 2 30467 19
"22632" 2013 2 6 8885 11
"22633" 2013 1 4 17056 1
"22634" 2014 1 5 31633 12
"22635" 2014 3 12 13798 6
"22636" 2013 3 11 9400 30
"22637" 2013 2 9 11903 4
"22638" 2015 1 3 60527 6
"22639" 2015 2 7 11901 14
"22640" 2014 1 1 41495 20
"22641" 2014 1 4 9731 6
"22642" 2014 1 4 49110 6
"22643" 2014 1 5 10777 8
"22644" 2013 1 1 9962 5
"22645" 2013 3 11 17054 42
"22646" 2014 2 8 8089 13
"22647" 2013 3 10 8145 163
"22648" 2013 1 5 8882 85
"22649" 2013 2 8 8999 15
"22650" 2013 3 12 10386 22
"22651" 2013 1 2 8592 17
"22652" 2015 1 1 17027 1
"22653" 2013 2 6 61208 50
"22654" 2014 2 9 52092 5
"22655" 2014 3 11 11026 1
"22656" 2013 1 1 19434 12
"22657" 2014 1 1 8969 8
"22658" 2014 1 1 9255 6
"22659" 2015 3 12 46970 11
"22660" 2015 1 2 41648 112
"22661" 2015 3 10 74762 0
"22662" 2013 3 12 6556 4
"22663" 2015 2 7 36555 37
"22664" 2014 3 12 18833 2
"22665" 2013 2 7 10790 3
"22666" 2015 2 6 9441 22
"22667" 2015 1 2 35325 3
"22668" 2014 2 6 13743 16
"22669" 2013 2 8 6589 27
"22670" 2014 2 7 11059 379
"22671" 2015 2 6 18383 13
"22672" 2015 3 10 12100 11
"22673" 2013 3 10 48932 3
"22674" 2015 1 5 31633 28
"22675" 2015 3 12 9804 840
"22676" 2014 1 3 8559 11
"22677" 2013 2 8 11936 1593
"22678" 2015 1 2 9122 -7
"22679" 2015 1 3 91791 2
"22680" 2014 3 11 8693 6
"22681" 2013 2 6 10511 2
"22682" 2014 2 9 48153 47
"22683" 2014 2 9 15003 61
"22684" 2013 2 7 19337 42
"22685" 2013 2 8 9706 93
"22686" 2015 1 3 9796 6
"22687" 2014 2 7 9064 29
"22688" 2013 1 4 10329 2
"22689" 2014 1 3 11994 24
"22690" 2015 2 7 8045 5
"22691" 2015 1 5 76562 1
"22692" 2015 2 6 73391 1261
"22693" 2014 1 2 11243 4
"22694" 2014 1 5 41829 120
"22695" 2015 2 7 28211 1
"22696" 2015 1 3 52292 15
"22697" 2013 3 12 8737 2
"22698" 2014 3 12 10572 3
"22699" 2015 2 6 10022 30
"22700" 2013 1 5 39885 141
"22701" 2014 1 5 79290 3
"22702" 2013 2 7 9662 16
"22703" 2015 3 11 9760 1
"22704" 2014 1 4 11440 661
"22705" 2014 3 12 31614 5
"22706" 2014 3 12 9974 8
"22707" 2013 2 9 50569 30
"22708" 2014 2 8 52437 12
"22709" 2014 2 8 48925 14
"22710" 2014 2 6 36511 6
"22711" 2014 1 4 41659 1
"22712" 2014 1 2 74798 13
"22713" 2015 3 11 50859 918
"22714" 2013 2 9 9673 11
"22715" 2014 1 5 47050 14
"22716" 2015 1 4 8821 2
"22717" 2013 2 6 20000 1
"22718" 2015 2 9 10784 11
"22719" 2013 3 12 9444 37
"22720" 2013 2 9 1707 1
"22721" 2014 2 6 12346 2
"22722" 2015 3 12 34172 220
"22723" 2014 2 8 31816 2
"22724" 2014 3 12 9865 547
"22725" 2014 1 5 17209 12
"22726" 2015 2 6 27460 1
"22727" 2015 1 4 18370 8
"22728" 2013 3 12 47031 4
"22729" 2014 2 6 18383 27
"22730" 2013 1 1 60533 7
"22731" 2015 2 8 11633 123
"22732" 2014 1 5 39994 1
"22733" 2013 2 8 9394 162
"22734" 2013 2 6 21709 2
"22735" 2015 3 11 8818 1172
"22736" 2015 2 8 9243 2
"22737" 2013 1 5 8856 1092
"22738" 2015 1 1 11697 14
"22739" 2014 2 7 8145 84
"22740" 2013 2 7 11763 5
"22741" 2015 2 6 656 5
"22742" 2015 1 5 10909 10
"22743" 2013 3 11 9918 0
"22744" 2015 3 11 18831 17
"22745" 2014 1 1 18017 1
"22746" 2015 2 8 8092 5
"22747" 2015 3 12 9177 6
"22748" 2013 3 11 30276 4
"22749" 2015 1 5 11722 134
"22750" 2013 1 2 22389 1
"22751" 2014 1 4 74706 59
"22752" 2013 2 7 31614 17
"22753" 2014 1 4 8921 269
"22754" 2013 2 9 13795 48
"22755" 2015 3 10 9186 58
"22756" 2013 1 4 12430 2
"22757" 2015 2 6 41755 26
"22758" 2014 2 6 11719 17
"22759" 2014 3 12 92461 1
"22760" 2015 1 2 12451 25
"22761" 2013 1 3 8559 15
"22762" 2014 1 3 8871 100
"22763" 2013 3 11 92285 13
"22764" 2015 1 1 18836 40
"22765" 2014 1 5 11902 44
"22766" 2015 1 2 7576 61
"22767" 2013 2 6 9002 51
"22768" 2015 2 9 34004 315
"22769" 2014 1 3 92277 190
"22770" 2013 1 3 8902 10
"22771" 2015 3 11 9748 19
"22772" 2013 2 9 9747 6
"22773" 2014 1 2 5884 4
"22774" 2015 1 2 18018 10
"22775" 2015 2 7 10080 56
"22776" 2014 1 2 60219 5
"22777" 2014 1 5 9772 52
"22778" 2015 2 6 60246 2
"22779" 2013 2 8 41293 67
"22780" 2014 1 4 48955 21
"22781" 2014 3 12 14957 1
"22782" 2015 2 7 97110 1
"22783" 2014 1 4 8912 334
"22784" 2013 1 5 10934 14
"22785" 2015 1 5 7505 50
"22786" 2015 2 6 11736 1
"22787" 2013 3 12 35180 16
"22788" 2014 1 1 8983 8
"22789" 2015 3 10 75383 1
"22790" 2013 3 11 32368 32
"22791" 2013 1 2 1902 4
"22792" 2015 1 3 10560 3
"22793" 2014 1 4 18384 280
"22794" 2015 3 10 8997 18
"22795" 2013 2 8 8598 3
"22796" 2013 2 6 9709 9
"22797" 2014 3 11 50831 20
"22798" 2013 3 12 9667 14
"22799" 2014 2 6 11879 180
"22800" 2013 2 6 31684 450
"22801" 2014 1 5 13333 18
"22802" 2014 1 3 17212 157
"22803" 2014 1 1 12578 11
"22804" 2013 2 7 10569 12
"22805" 2015 1 4 8085 15
"22806" 2014 2 8 19942 67
"22807" 2013 1 3 7511 11
"22808" 2014 3 12 8817 1865
"22809" 2013 1 1 49120 2
"22810" 2013 1 5 30476 59
"22811" 2015 2 7 11915 99
"22812" 2013 3 10 9842 65
"22813" 2015 1 1 8814 214
"22814" 2013 2 8 10410 319
"22815" 2015 1 5 12171 2
"22816" 2014 1 1 9976 8
"22817" 2014 1 5 9795 135
"22818" 2014 3 11 34598 214
"22819" 2013 3 11 8916 121
"22820" 2014 3 12 49149 11
"22821" 2013 2 7 49510 17
"22822" 2014 1 5 19951 8
"22823" 2014 1 4 12556 22
"22824" 2015 3 10 74962 28
"22825" 2014 2 7 52281 2
"22826" 2014 2 9 8608 359
"22827" 2014 2 8 53141 1
"22828" 2014 3 12 52003 1
"22829" 2013 2 7 48299 1
"22830" 2013 1 3 14956 15
"22831" 2015 3 11 75822 3
"22832" 2014 3 11 49022 265
"22833" 2014 2 8 92285 6
"22834" 2013 1 2 34262 16
"22835" 2015 3 12 8092 15
"22836" 2015 3 12 12420 87
"22837" 2014 2 7 48972 436
"22838" 2014 2 8 73138 97
"22839" 2015 2 6 14759 5
"22840" 2015 3 11 16595 84
"22841" 2013 2 7 30111 8
"22842" 2014 1 3 20461 141
"22843" 2014 1 5 34913 324
"22844" 2013 2 9 11977 8
"22845" 2013 3 12 20842 330
"22846" 2014 3 12 8926 67
"22847" 2015 1 2 1127 3
"22848" 2013 1 5 34240 5
"22849" 2014 2 6 10777 10
"22850" 2014 3 12 8531 26
"22851" 2013 2 9 9375 2
"22852" 2014 1 3 15629 2
"22853" 2015 3 10 75466 67
"22854" 2013 1 4 12195 1
"22855" 2014 3 12 57410 12
"22856" 2015 2 7 9768 37
"22857" 2015 2 7 74737 2
"22858" 2015 2 6 14962 19
"22859" 2015 1 3 11662 311
"22860" 2013 3 12 19763 20
"22861" 2013 1 2 46479 1
"22862" 2014 1 4 36546 7
"22863" 2015 3 11 11955 31
"22864" 2014 1 5 8272 9
"22865" 2013 3 11 1230 1
"22866" 2013 2 9 7540 1
"22867" 2015 3 10 12930 1
"22868" 2015 2 7 76572 1
"22869" 2015 1 5 12457 141
"22870" 2014 2 9 8920 127
"22871" 2015 3 12 8690 2
"22872" 2014 2 8 50539 10
"22873" 2014 3 12 8219 49
"22874" 2013 3 10 11989 3
"22875" 2014 1 5 58388 90
"22876" 2014 2 6 19433 18
"22877" 2015 2 8 48249 6
"22878" 2015 1 2 10802 2
"22879" 2013 3 11 11830 1
"22880" 2013 1 4 11992 7
"22881" 2015 1 1 8923 3
"22882" 2015 3 12 7780 12
"22883" 2015 2 9 8070 32
"22884" 2013 1 1 14759 7
"22885" 2014 1 1 8250 194
"22886" 2015 3 12 75554 2
"22887" 2013 1 5 8727 22
"22888" 2015 2 7 20150 3
"22889" 2013 2 6 10920 242
"22890" 2013 3 11 11014 12
"22891" 2014 2 7 20293 2
"22892" 2014 2 7 11637 1
"22893" 2015 2 9 8886 50
"22894" 2013 1 4 8683 3
"22895" 2013 1 1 58400 350
"22896" 2015 1 1 31582 60
"22897" 2014 1 5 9400 31
"22898" 2015 3 10 76485 18
"22899" 2013 2 6 9901 51
"22900" 2013 3 11 1339 7
"22901" 2014 2 6 10783 32
"22902" 2014 2 7 11062 75
"22903" 2014 1 4 12559 7
"22904" 2014 2 6 48934 6
"22905" 2014 2 6 12011 1
"22906" 2014 1 5 9721 15
"22907" 2015 3 12 41709 9
"22908" 2015 3 12 1331 -2
"22909" 2013 3 10 19941 -1
"22910" 2015 2 7 12127 5
"22911" 2014 1 3 48144 4
"22912" 2014 1 4 11669 9
"22913" 2015 1 2 8000 16
"22914" 2015 3 10 74788 1
"22915" 2015 1 4 15359 2
"22916" 2013 1 4 12722 15
"22917" 2015 1 4 8220 103
"22918" 2014 3 10 48563 1
"22919" 2013 2 9 51147 410
"22920" 2015 2 7 73246 69
"22921" 2014 1 4 8045 1
"22922" 2013 2 9 20473 23
"22923" 2015 3 10 15037 4
"22924" 2014 1 4 21616 4
"22925" 2014 1 5 13714 240
"22926" 2014 1 5 10488 3
"22927" 2014 2 8 8822 12
"22928" 2015 1 2 74798 61
"22929" 2014 1 3 73139 36
"22930" 2014 1 2 92296 10
"22931" 2013 2 8 12517 2
"22932" 2013 2 9 12381 1
"22933" 2015 3 11 30484 1
"22934" 2013 1 5 8965 22
"22935" 2013 1 5 13708 34
"22936" 2013 2 9 10569 4
"22937" 2013 1 5 31730 29
"22938" 2014 1 3 9870 15
"22939" 2014 2 8 92434 11
"22940" 2015 3 11 17417 5
"22941" 2015 3 11 74022 6
"22942" 2014 2 7 39987 4
"22943" 2013 2 8 48289 12
"22944" 2015 3 12 13843 9
"22945" 2015 3 12 73259 252
"22946" 2013 2 9 54496 120
"22947" 2013 2 9 48153 58
"22948" 2013 1 3 13090 3
"22949" 2013 1 4 7501 3
"22950" 2013 3 10 17820 3
"22951" 2015 3 12 79290 3
"22952" 2014 2 9 39978 4
"22953" 2015 2 9 31551 60
"22954" 2015 1 3 73222 33
"22955" 2015 3 12 8576 51
"22956" 2013 2 9 9467 1
"22957" 2014 3 11 7511 1
"22958" 2013 1 3 48244 26
"22959" 2013 1 2 30467 16
"22960" 2014 3 12 36254 5
"22961" 2014 2 7 49353 100
"22962" 2015 3 12 74673 275
"22963" 2014 2 7 8669 1
"22964" 2015 2 7 8778 52
"22965" 2015 1 3 9401 4858
"22966" 2013 3 12 15000 4
"22967" 2013 1 2 35084 41
"22968" 2015 2 8 46701 64
"22969" 2013 1 3 10972 1
"22970" 2014 3 12 13091 12
"22971" 2015 3 10 51808 14
"22972" 2013 2 6 12821 16
"22973" 2015 1 2 31598 103
"22974" 2015 3 11 54477 7
"22975" 2014 3 11 20518 6
"22976" 2015 1 4 6591 85
"22977" 2013 3 11 8902 10
"22978" 2015 3 10 13334 33
"22979" 2014 2 7 74743 34
"22980" 2013 2 9 57410 44
"22981" 2014 2 8 14962 30
"22982" 2015 3 11 18018 7
"22983" 2014 2 7 19764 53
"22984" 2014 3 11 30468 135
"22985" 2013 2 7 8248 42
"22986" 2015 2 6 28061 80
"22987" 2014 1 5 15629 2
"22988" 2014 3 10 60219 1
"22989" 2014 1 4 13773 15
"22990" 2015 2 8 7803 6
"22991" 2014 2 9 48972 201
"22992" 2014 3 12 47034 3
"22993" 2013 2 6 34172 3
"22994" 2014 2 9 18833 2
"22995" 2015 3 12 74962 19
"22996" 2013 1 4 49811 7
"22997" 2015 1 5 19336 4
"22998" 2015 2 7 51689 180
"22999" 2013 3 12 8969 1
"23000" 2013 3 12 19640 23
"23001" 2014 1 4 17059 24
"23002" 2014 3 11 13651 3
"23003" 2015 2 7 8566 5
"23004" 2014 2 9 31551 20
"23005" 2015 1 5 92277 175
"23006" 2013 3 11 72849 16
"23007" 2015 3 10 60261 1
"23008" 2013 1 4 19466 16
"23009" 2015 1 5 39814 35
"23010" 2013 3 10 485 2
"23011" 2014 2 6 12821 10
"23012" 2013 3 12 36254 9
"23013" 2013 1 2 13650 3
"23014" 2015 2 9 48268 60
"23015" 2013 2 9 16600 42
"23016" 2014 1 5 8965 17
"23017" 2015 1 3 19428 13
"23018" 2014 3 12 92281 12
"23019" 2015 3 10 8983 38
"23020" 2013 2 8 8292 409
"23021" 2015 1 5 11696 167
"23022" 2015 3 12 9203 0
"23023" 2014 2 9 8162 106
"23024" 2014 3 10 8543 9
"23025" 2014 2 9 11700 69
"23026" 2013 1 1 8857 581
"23027" 2015 1 3 73139 53
"23028" 2014 2 8 11736 21
"23029" 2014 1 3 9896 75
"23030" 2013 3 10 19944 2
"23031" 2015 2 6 4383 5
"23032" 2015 2 9 19466 66
"23033" 2015 1 2 8833 1
"23034" 2013 1 3 9761 218
"23035" 2015 2 9 16841 49
"23036" 2015 3 10 74032 5
"23037" 2013 2 8 4385 6
"23038" 2014 1 5 18829 1
"23039" 2013 2 7 58315 320
"23040" 2013 1 3 31822 1700
"23041" 2014 2 9 9865 642
"23042" 2014 2 7 57431 2
"23043" 2015 3 10 76182 3
"23044" 2015 1 5 50677 83
"23045" 2015 2 6 8997 50
"23046" 2013 3 10 9851 168
"23047" 2013 3 12 17024 66
"23048" 2015 1 1 8869 46
"23049" 2014 3 12 9762 151
"23050" 2015 1 1 92278 2
"23051" 2013 2 8 31604 1400
"23052" 2013 3 11 48189 9
"23053" 2013 2 9 47051 4
"23054" 2014 1 2 9225 13
"23055" 2013 1 3 11988 4
"23056" 2013 2 6 6681 80
"23057" 2013 1 5 8278 158
"23058" 2015 1 5 14238 12
"23059" 2013 3 11 14956 9
"23060" 2013 2 8 11830 1
"23061" 2015 1 5 52280 1
"23062" 2015 2 8 53147 44
"23063" 2014 2 9 30867 5
"23064" 2015 1 2 75010 2
"23065" 2013 1 2 4476 1
"23066" 2014 1 3 92286 94
"23067" 2015 1 1 19623 2
"23068" 2015 1 4 17059 37
"23069" 2014 3 11 11238 4
"23070" 2013 1 3 15011 137
"23071" 2013 1 5 52268 7
"23072" 2014 3 10 20763 16
"23073" 2015 1 5 12011 1
"23074" 2014 2 6 41755 7
"23075" 2015 1 4 74706 76
"23076" 2013 2 7 11162 89
"23077" 2013 1 3 48931 37
"23078" 2014 3 11 21620 11
"23079" 2014 2 8 11627 2
"23080" 2015 3 12 75563 7
"23081" 2015 2 9 11700 48
"23082" 2015 2 6 30998 117
"23083" 2015 2 6 52246 4
"23084" 2013 2 7 9247 10
"23085" 2015 1 2 11060 136
"23086" 2013 3 12 12195 15
"23087" 2013 2 8 36516 4
"23088" 2013 1 3 9870 13
"23089" 2013 1 1 4323 1
"23090" 2015 1 3 54496 140
"23091" 2013 2 6 9094 64
"23092" 2014 1 5 58334 1500
"23093" 2014 3 11 44783 7164
"23094" 2015 2 9 8895 59
"23095" 2015 1 3 20842 200
"23096" 2015 2 7 57431 8
"23097" 2015 1 2 28060 60
"23098" 2014 3 11 11633 339
"23099" 2015 1 5 30843 297
"23100" 2014 3 12 76566 13
"23101" 2015 3 10 10082 1
"23102" 2014 3 12 11989 48
"23103" 2013 1 1 9670 1
"23104" 2013 2 8 49812 2
"23105" 2013 2 6 9203 1
"23106" 2014 2 8 58388 195
"23107" 2014 2 6 13843 19
"23108" 2014 1 4 9708 8
"23109" 2015 1 5 20461 32
"23110" 2015 1 2 9225 1
"23111" 2013 3 11 10316 1
"23112" 2013 1 5 70001 80
"23113" 2015 1 5 1314 5
"23114" 2013 2 6 5894 1
"23115" 2014 2 6 9515 16
"23116" 2014 1 1 17024 6
